Project Name,Package Name,Architecture Smell,Cause of the Smell
atmosphere_atmosphere,org.atmosphere.websocket,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.atmosphere.annotation
atmosphere_atmosphere,org.atmosphere.websocket,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [WebSocketTest; WebSocket; WebSocketProcessorAdapter; WebSocketProtocolStream; WebSocketProcessor; WebSocketHandler; WebSocketTest.Worker; DefaultWebSocketFactory; WebSocketFactory; WebSocketEventListener; DefaultWebSocketProcessor; WebSocketEventListenerAdapter; WebSocketEventListener.WebSocketEvent; WebSocketStreamingHandler; WebSocketStreamingHandlerAdapter; WebSocketHandlerAdapter; WebSocketPingPongListener; WebSocketProtocol; WebSocketProcessor.WebSocketHandlerProxy]; [WebSocketTest.DummyInterceptor]; [WebSocketEventListener.TYPE]; [WebSocketHandshakeFilter]; [WebSocketProcessor.WebSocketException]. LCC (Lack of Component Cohesion) = 0.22
atmosphere_atmosphere,org.atmosphere.util,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 44
atmosphere_atmosphere,org.atmosphere.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.atmosphere.util; org.atmosphere.cpr
atmosphere_atmosphere,org.atmosphere.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.atmosphere.util; org.atmosphere.cpr; org.atmosphere.container
atmosphere_atmosphere,org.atmosphere.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.atmosphere.websocket
atmosphere_atmosphere,org.atmosphere.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IOUtilsTest; IOUtils; VoidServletConfig; ServletProxyFactory]; [ChunkConcatReaderPoolTest; ChunkConcatReaderPool]; [CookieUtilTest; CookieUtil]; [SimpleBroadcaster; ExecutorsFactory]; [ServletContextFactory]; [ByteArrayAsyncWriter]; [UUIDProvider; DefaultUUIDProvider]; [DefaultEndpointMapper; Utils; EndpointMapper]; [AtmosphereConfigReader]; [CookieUtil.CookieDecoder]; [CookieUtil.ServerCookieDecoder]; [StringEscapeUtils]; [ForkJoinPool]; [ForkJoinPool.JDK7ForkJoinWorkerThread]; [ReaderInputStream]; [AbstractBroadcasterProxy]; [IntrospectionUtils]; [IntrospectionUtils.PropertySource]; [IntrospectionUtils.AttributeHolder]; [AtmosphereFilterChain; FilterConfigImpl]; [ChunkConcatReaderPool.ChunkConcatReader]; [ExcludeSessionBroadcaster]; [ServletProxyFactory.MethodHandler]; [ServletProxyFactory.EchoMethodHandler]; [ServletProxyFactory.UTF8Handler]; [QueryStringDecoder]; [ExecutorsFactory.AtmosphereThreadFactory]; [ThreadLocalInvoker]; [FakeHttpSession]; [XSSHtmlFilter]; [VoidExecutorService]; [VoidAnnotationProcessor]; [StringFilterAggregator]; [Version]. LCC (Lack of Component Cohesion) = 0.77
atmosphere_atmosphere,org.atmosphere.annotation,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 52
atmosphere_atmosphere,org.atmosphere.annotation,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.atmosphere.annotation; org.atmosphere.cpr
atmosphere_atmosphere,org.atmosphere.annotation,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.atmosphere.annotation; org.atmosphere.cpr; org.atmosphere.websocket
atmosphere_atmosphere,org.atmosphere.annotation,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ManagedAtmosphereHandlerTest]; [ManagedAtmosphereHandlerTest.ArrayBaseWebSocket]; [ManagedAtmosphereHandlerTest.ManagedGet]; [ManagedAtmosphereHandlerTest.ManagedPost]; [ManagedAtmosphereHandlerTest.ManagedDelete]; [ManagedAtmosphereHandlerTest.ManagedPut]; [ManagedAtmosphereHandlerTest.ManagedMessage]; [ManagedAtmosphereHandlerTest.ManagedMessageWithResource]; [ManagedAtmosphereHandlerTest.ManagedSuspend]; [ManagedAtmosphereHandlerTest.I]; [ManagedAtmosphereHandlerTest.Priority]; [ManagedAtmosphereHandlerTest.OverrideBroadcaster]; [ManagedAtmosphereHandlerTest.ReaderInjection]; [ManagedAtmosphereHandlerTest.InputStreamInjection]; [ManagedAtmosphereHandlerTest.Heartbeat]; [ManagedAtmosphereHandlerTest.InjectAnnotation]; [ManagedAtmosphereHandlerTest.PostConstructAnnotation]; [ManagedAtmosphereHandlerTest.Interceptor]; [ManagedAtmosphereHandlerTest.WebSocketfactoryTest]; [ManagedAtmosphereHandlerTest.NamedService]; [EncoderDecoderTest]; [EncoderDecoderTest.ManagedMessage]; [EncoderDecoderTest.DecodedMessage]; [EncoderDecoderTest.EncodedMessage]; [EncoderDecoderTest.StringBufferEncoder]; [EncoderDecoderTest.StringBufferDecoder]; [MeteorServiceProcessor; AnnotationUtil; Processor; AtmosphereResourceFactoryServiceProcessor; AtmosphereInterceptorServiceProcessor; AtmosphereServiceProcessor; AtmosphereFrameworkServiceProcessor; BroadcasterCacheServiceProcessor; BroadcasterCacheInspectorServiceProcessor; AtmosphereResourceListenerServiceProcessor; BroadcasterFactoryServiceProcessor; BroadcasterListenerServiceProcessor; BroadcasterServiceProcessor; WebSocketProtocolServiceProcessor; BroadcastFilterServiceProcessor; AsyncSupportServiceProcessor; WebSocketHandlerServiceProcessor; AsyncSupportListenerServiceProcessor; WebSocketFactoryServiceProcessor; ManagedServiceProcessor; WebSocketProcessorServiceProcessor; UUIDProviderServiceProcessor; EndpointMapperServiceProcessor; AtmosphereHandlerServiceProcessor; BroadcasterCacheListenererviceProcessor]; [SCOPE]. LCC (Lack of Component Cohesion) = 0.54
atmosphere_atmosphere,org.atmosphere.annotation.path,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PathTest]; [PathTest.ManagedPath]; [PathTest.AtmosphereHandlerPath]; [PathTest.MeteorPath]; [PathTest.ManagedDoublePath]; [PathTest.WebSocketHandlerPath]; [PathTest.ArrayBaseWebSocket]; [PathTest.SingletonManagedPath]; [PathTest.SingletonAtmosphereHandlerPath]; [PathTest.SingletonMeteorPath]; [PathTest.MyInterceptor]; [PathTest.SingletonWebSocketHandlerPath]; [PathTest.PathVar]; [PathTest.InjectRuntime]; [PathTest.InjectAtmosphereResource]; [PathTest.InjectAtmosphereRequest]; [PathTest.InjectAtmosphereResponse]; [PathTest.InjectAtmosphereResourceEvent]. LCC (Lack of Component Cohesion) = 1.0
atmosphere_atmosphere,org.atmosphere.container.version,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [JSR356WebSocketTest; JSR356WebSocket]; [JBossWebSocket]; [Grizzly2WebSocket]; [Jetty9WebSocket]; [GrizzlyWebSocket]; [JSR356WebSocket.WriteResult]; [TomcatWebSocket]; [Jetty8WebSocket]; [WebLogicWebSocket]. LCC (Lack of Component Cohesion) = 0.9
atmosphere_atmosphere,org.atmosphere.interceptor,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 34
atmosphere_atmosphere,org.atmosphere.interceptor,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.atmosphere.interceptor; org.atmosphere.cpr
