Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
atmosphere_atmosphere,org.atmosphere.interceptor,SimpleRestInterceptor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
atmosphere_atmosphere,org.atmosphere.interceptor,JavaScriptProtocol,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
atmosphere_atmosphere,org.atmosphere.interceptor,IdleResourceInterceptor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
atmosphere_atmosphere,org.atmosphere.interceptor,CorsInterceptor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
atmosphere_atmosphere,org.atmosphere.interceptor,TrackMessageSizeB64Interceptor,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SKIP_INTERCEPTOR
atmosphere_atmosphere,org.atmosphere.interceptor,HeartbeatInterceptor,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INTERCEPTOR_ADDED; HEARTBEAT_FUTURE
atmosphere_atmosphere,org.atmosphere.interceptor,HeartbeatInterceptor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
atmosphere_atmosphere,org.atmosphere.handler,AbstractReflectorAtmosphereHandler,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
atmosphere_atmosphere,org.atmosphere.handler,AbstractReflectorAtmosphereHandler.Default,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
atmosphere_atmosphere,org.atmosphere.websocket.protocol,StreamingHttpProtocol,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
atmosphere_atmosphere,org.atmosphere.cache,UUIDBroadcasterCache,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
atmosphere_atmosphere,org.atmosphere.util.uri,UriPattern,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EMPTY
atmosphere_atmosphere,org.atmosphere.util.uri,UriTemplate,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: COMPARATOR; EMPTY
atmosphere_atmosphere,org.atmosphere.inject,InjectableObjectFactory,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
atmosphere_atmosphere,org.atmosphere.config.managed,ServiceInterceptor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
atmosphere_atmosphere,org.atmosphere.config.managed,TypeResolver.Unknown,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
atmosphere_atmosphere,org.atmosphere.config.managed,ManagedAtmosphereHandler,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
atmosphere_atmosphere,org.atmosphere.config.managed,ManagedAtmosphereHandler.MethodInfo,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
atmosphere_atmosphere,org.atmosphere.config.managed,ManagedAtmosphereHandler.Managed,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
atmosphere_atmosphere,org.atmosphere.container,BlockingIOCometSupport,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
atmosphere_atmosphere,org.atmosphere.container,JBossWebCometSupport,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: HTTP_EVENT
atmosphere_atmosphere,org.atmosphere.container,JBossWebCometSupport,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
atmosphere_atmosphere,org.atmosphere.container,EmbeddedWebSocketHandler,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ECHO_ATMOSPHEREHANDLER
atmosphere_atmosphere,org.atmosphere.container,EmbeddedWebSocketHandler,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
atmosphere_atmosphere,org.atmosphere.container,EmbeddedWebSocketHandler,Law of Demeter violation,The tool detected the smell in this method (main) because the method voilates the law of Demeter. The long chain of method invocations is : org.atmosphere.container.EmbeddedWebSocketHandler.on; org.atmosphere.container.EmbeddedWebSocketHandler.serve
atmosphere_atmosphere,org.atmosphere.container,WeblogicWebSocketHandler,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
atmosphere_atmosphere,org.atmosphere.container,Servlet30CometSupport,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
atmosphere_atmosphere,org.atmosphere.container,JettyWebSocketUtil,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
atmosphere_atmosphere,org.atmosphere.container,Tomcat7CometSupport,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: COMET_EVENT
atmosphere_atmosphere,org.atmosphere.container,Tomcat7CometSupport,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
atmosphere_atmosphere,org.atmosphere.container,JettyServlet30AsyncSupportWithWebSocket,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
atmosphere_atmosphere,org.atmosphere.container,JSR356Endpoint,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
atmosphere_atmosphere,org.atmosphere.container,AbstractJetty9AsyncSupportWithWebSocket,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
atmosphere_atmosphere,org.atmosphere.container,NettyCometSupport,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SUSPEND; RESUME
atmosphere_atmosphere,org.atmosphere.container,TomcatWebSocketUtil,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
atmosphere_atmosphere,org.atmosphere.container,JettyAsyncSupportWithWebSocket,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
atmosphere_atmosphere,org.atmosphere.container,JSR356AsyncSupport.AtmosphereConfigurator,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
atmosphere_atmosphere,org.atmosphere.container,JSR356AsyncSupport.QuarkusAtmosphereConfigurator,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
atmosphere_atmosphere,org.atmosphere.container,TomcatCometSupport,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: COMET_EVENT
atmosphere_atmosphere,org.atmosphere.container,GlassFishWebSocketHandler,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
atmosphere_atmosphere,org.atmosphere.client,TrackMessageSizeInterceptor,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SKIP_INTERCEPTOR
atmosphere_atmosphere,org.atmosphere.client,TrackMessageSizeInterceptor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
